n_number,mfr_mdl_code,year_manufactured,aircraft_type_code,engine_type_code,certification_code,registration_status,cert_issue_date,expiration_date,owner_state,owner_country
100,7100510,1940.0,4,1,1,V,2005-05-06,2027-04-30,OK,US
10000,2130004,,4,1,UNKNOWN,V,2024-08-23,2031-08-31,TN,US
10001,9601202,1928.0,4,1,1,V,2019-02-27,2029-02-28,FL,US
10004,2072738,,4,2,UNKNOWN,V,2013-03-12,2029-03-31,TX,US
10006,1152020,1955.0,4,1,1U,V,1998-08-26,2028-02-29,CA,US
10007,2073430,1966.0,4,1,1N,V,2019-01-02,2029-01-31,NE,US
10009,8930105,1979.0,6,1,31,V,2010-02-11,2029-08-31,IL,US
1000A,3801213,1978.0,1,0,1G,V,2021-04-14,2028-04-30,CO,US
1000E,2076604,2002.0,5,5,1T,V,2016-02-16,2029-02-28,OK,US
1000G,1380475,2025.0,2,0,1B,V,2025-07-07,2032-07-31,UT,US
1000H,0191202,1948.0,4,1,1,V,2001-08-21,2028-01-31,WI,US
1000J,1151208,1966.0,4,1,1N,V,2024-05-14,2031-05-31,OK,US
1000L,1152706,1966.0,5,1,1N,V,2007-08-21,2028-06-30,TX,US
1000M,9230408,,4,1,1,V,2023-10-15,2030-10-31,NM,US
1000N,2074220,1963.0,5,1,1N,V,1997-04-08,2030-04-30,MN,US
1000P,7102808,1963.0,4,1,1N,V,2024-03-15,2031-03-31,MN,US
1000Q,2074238,,5,1,1N,V,2022-03-19,2029-03-31,CA,US
1000R,4690506,,4,1,1,V,2023-04-13,2030-04-30,IN,US
1000S,0631410,1972.0,4,1,1N,V,2002-02-15,2029-09-30,OH,US
1000T,1151520,1957.0,4,1,1,V,2007-05-10,2027-05-31,WA,US
1000V,2130001,,4,1,1N,V,2025-01-30,2032-01-31,GA,US
1000W,05639MP,2023.0,4,1,42,V,2023-03-02,2030-03-31,TX,US
1000Y,2072602,1954.0,4,1,1,V,2024-03-04,2031-03-31,TX,US
1000Z,3801567,1960.0,1,0,1,V,1994-10-31,2028-08-31,TN,US
1001,4690506,1947.0,4,1,1N,V,2022-09-13,2029-09-30,MN,US
10011,3801568,,1,0,UNKNOWN,V,2021-04-19,2028-04-30,WI,US
10013,2071826,1973.0,4,1,1U,V,2016-03-24,2029-03-31,KY,US
10015,3371402,,4,1,UNKNOWN,V,1991-11-09,2028-10-31,NC,US
1001A,0566069,,4,1,42,V,2022-05-04,2029-05-31,CA,US
1001E,2110102,1946.0,4,1,1,V,2025-12-22,2032-12-31,OH,US
1001F,8930105,1979.0,6,1,31,V,2019-09-11,2029-09-30,WY,US
1001J,5870219,,4,1,1N,V,2017-03-16,2030-03-31,CA,US
1001K,060005B,2017.0,4,8,9A,V,2018-05-23,2028-05-31,NE,US
1001L,9830224,1996.0,4,1,43,V,2024-10-21,2031-10-31,CA,US
1001M,2072432,1970.0,4,1,1N,V,2018-11-26,2028-11-30,WY,US
1001Q,2074220,1962.0,5,1,1,V,2023-02-11,2030-02-28,  ,  
1001S,056313G,,1,0,UNKNOWN,V,2012-07-17,2028-07-31,IA,US
1001T,0610177,,4,7,UNKNOWN,V,2021-05-12,2028-05-31,WA,US
1001V,2072431,1976.0,4,1,1N,V,2025-03-06,2032-03-31,GA,US
1001W,05620P0,2006.0,4,1,42,V,2018-09-18,2028-09-30,TX,US
1001X,05626CO,2012.0,4,1,42,V,2008-03-18,2029-12-31,MA,US
1001Y,8930107,,6,1,UNKNOWN,V,2011-11-21,2027-11-30,MI,US
10020,5460186,1995.0,4,1,1N,V,2025-02-07,2032-02-29,MT,US
10021,5870226,2002.0,4,1,1N,V,2024-10-17,2031-10-31,  ,  
10026,05614K1,,4,1,42,V,2025-12-02,2032-12-31,IL,US
10027,05603D0,1996.0,4,1,42,V,2022-11-08,2029-11-30,IL,US
1002C,059006Q,2005.0,4,1,42,V,2016-03-17,2029-03-31,NC,US
1002E,2110102,1946.0,4,1,1N,V,2015-08-27,2028-08-31,ME,US
1002G,5870222,2000.0,4,1,1N,V,2017-05-22,2027-05-31,ID,US
1002H,5460109,1997.0,4,1,1N,V,2017-12-05,2027-12-31,AK,US
1002L,05643C9,,4,8,UNKNOWN,V,2025-11-07,2032-11-30,TX,US
1002M,2072432,1970.0,4,1,1N,V,2017-05-12,2027-05-31,IL,US
1002N,5460187,,4,1,1N,V,2018-03-21,2028-03-31,AR,US
1002Q,2074220,1962.0,5,1,1,V,2019-09-05,2029-09-30,NH,US
1002S,5460186,1995.0,4,1,1N,V,1996-03-07,2029-10-31,TX,US
1002U,2071826,1971.0,4,1,1U,V,2006-05-05,2027-06-30,MI,US
1002Z,3801551,1961.0,1,0,1,V,2015-06-25,2028-06-30,TN,US
1003,05637UA,2018.0,4,1,42,V,2024-05-16,2031-05-31,CA,US
10031,5870225,2000.0,4,1,1N,V,2014-10-21,2027-10-31,CA,US
10032,2071826,1973.0,4,1,1U,V,2021-05-15,2028-05-31,NJ,US
10033,2072439,,4,1,1NU,V,2023-12-02,2030-12-31,CO,US
10034,5470203,1996.0,4,1,1N,V,2024-10-19,2031-10-31,NH,US
10035,0400102,,4,1,UNKNOWN,V,2004-11-02,2028-10-31,OR,US
10036,7100510,1944.0,4,1,1N,V,2022-12-02,2029-12-31,PA,US
10037,059006V,1991.0,4,1,48A,V,2014-02-19,2030-02-28,OK,US
10039,05603DY,,4,1,42,V,2022-10-24,2029-10-31,NY,US
1003A,2073454,1978.0,4,1,1N,V,2020-06-08,2027-06-30,WA,US
1003C,7102802,,4,1,1NU,V,2023-12-12,2030-12-31,MT,US
1003D,2073102,1950.0,4,1,1,V,2001-06-07,2027-07-31,MO,US
1003E,2110102,1946.0,4,1,1,V,2024-06-29,2031-06-30,VA,US
1003F,5870219,1981.0,4,1,1N,V,2022-08-09,2029-08-31,MO,US
1003H,0191202,1948.0,4,1,1,V,2015-03-31,2028-03-31,MI,US
1003J,0144701,1972.0,4,1,1N,V,2016-12-21,2029-12-31,MS,US
1003K,8190112,1946.0,4,1,1N,V,2025-08-19,2032-08-31,CA,US
1003L,5870225,2001.0,4,1,1N,V,2012-06-25,2028-06-30,TX,US
1003Q,7103213,,4,1,1N,V,2015-04-29,2028-04-30,TX,US
1003T,05643AS,,4,1,UNKNOWN,V,2025-09-12,2032-09-30,MI,US
1003X,5150011,,4,1,UNKNOWN,V,2007-07-13,2028-03-31,LA,US
1003Z,05603DZ,1997.0,4,1,42,V,2019-10-30,2029-10-31,WI,US
1004,2621802,1928.0,4,1,1N,V,2017-06-06,2027-06-30,TX,US
10048,5870225,2002.0,4,1,1N,V,2007-05-11,2027-05-31,CA,US
1004B,0390302,,4,1,31,V,2023-03-01,2030-03-31,AR,US
1004D,5460111,,4,1,1N,V,2018-09-19,2028-09-30,VA,US
1004E,2072439,2005.0,4,1,1NU,V,2023-09-26,2030-09-30,CA,US
1004F,0390303,1988.0,4,2,31,V,2025-07-28,2032-07-31,IN,US
1004H,7102805,1976.0,4,1,1N,V,2016-01-26,2029-01-31,DE,US
1004J,0144701,1972.0,4,1,1N,V,2013-09-16,2029-09-30,WA,US
1004M,2072432,1970.0,4,1,1N,V,2025-02-06,2032-02-29,ID,US
1004N,8060105,1972.0,4,1,43,V,2017-01-12,2030-01-31,MI,US
1004P,7102302,1954.0,5,1,1,V,2023-09-12,2030-09-30,MD,US
1004Q,5870225,2000.0,4,1,1N,V,2022-03-21,2029-03-31,KY,US
1004S,5870225,2003.0,4,1,1N,V,2019-01-09,2029-01-31,ME,US
1004T,7640122,2010.0,6,1,1N,V,2024-09-24,2031-09-30,NY,US
1004V,2072431,1976.0,4,1,1N,V,2025-06-11,2032-06-30,MN,US
1004X,7102802,1975.0,4,1,1N,V,2014-09-24,2027-09-30,OR,US
1004Y,1880210,2006.0,2,0,1B,V,2006-05-12,2027-05-31,NM,US
